Unnamed: 0,target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
1408,6,6,1.0,10.0,95,101,73,53.8121132850647,False
1409,3,0,1.0,30.0,77,101,88,48.16088223457336,False
1410,3,2,1.0,20.0,83,101,82,50.00761318206787,False
1411,5,1,1.0,-1.0,63,101,66,41.86946177482605,False
1412,2,2,-1.0,70.0,20,101,82,22.93609642982483,False
1413,2,7,-1.0,30.0,40,101,88,29.94727563858032,False
1414,1,4,1.0,60.0,81,101,79,49.35712933540344,False
1415,1,7,1.0,70.0,80,101,74,49.306349754333496,False
1416,6,6,-1.0,30.0,37,101,64,28.909757375717163,False
1417,5,2,-1.0,20.0,47,101,70,32.04155611991882,False
1418,8,4,-1.0,40.0,29,101,68,26.230313777923584,False
1419,2,8,1.0,30.0,83,101,88,55.638211250305176,False
1420,8,6,-1.0,60.0,32,101,82,26.88968133926392,False
1421,5,0,1.0,30.0,84,101,76,50.66026449203491,False
1422,11,7,1.0,70.0,81,101,65,49.88711738586426,False
1423,8,0,-1.0,20.0,56,101,80,35.16176962852478,False
1424,0,4,-1.0,40.0,38,101,75,29.24336838722229,False
1425,8,3,-1.0,40.0,41,101,81,30.326311111450195,False
1426,5,6,1.0,30.0,89,101,70,52.53284764289856,False
1427,10,6,-1.0,30.0,41,101,64,30.30043363571167,False
1428,1,6,-1.0,40.0,38,101,72,29.42347264289856,False
1429,9,4,-1.0,70.0,29,101,75,26.094890117645264,False
1430,10,3,-1.0,30.0,46,101,77,31.97881245613098,False
1431,7,2,1.0,10.0,91,101,72,52.45878791809082,False
1432,11,1,1.0,70.0,91,101,71,53.48561191558838,False
1433,5,2,1.0,60.0,76,101,79,47.61253094673157,False
1434,11,0,1.0,30.0,85,101,65,51.090566873550415,False
1435,8,6,-1.0,20.0,57,101,83,35.55688977241516,False
1436,11,5,-1.0,50.0,33,101,66,26.926464557647705,False
1437,10,7,1.0,60.0,82,101,70,49.94361615180969,False
1438,3,9,1.0,70.0,65,101,83,44.30059576034546,False
1439,5,7,-1.0,40.0,39,101,65,29.68873381614685,False
1440,6,4,-1.0,30.0,39,101,68,29.77149701118469,False
1441,11,6,1.0,40.0,87,101,67,51.0021870136261,False
1442,3,2,-1.0,10.0,64,101,83,37.54688596725464,False
1443,5,0,1.0,-1.0,52,101,75,37.997435331344604,False
1444,9,2,1.0,40.0,84,101,85,49.89145040512085,False
1445,0,3,1.0,20.0,89,101,81,51.88650441169739,False
1446,5,1,-1.0,-1.0,100,101,69,50.08186841011048,False
1447,4,1,-1.0,30.0,51,101,80,33.6326470375061,False
1448,9,5,-1.0,50.0,26,101,79,24.68056535720825,False
1449,7,3,1.0,40.0,88,101,80,51.99565291404724,False
1450,8,5,-1.0,70.0,29,101,84,26.255245685577396,False
1451,0,6,-1.0,-1.0,100,101,75,49.30883693695069,False
1452,5,0,1.0,60.0,71,101,70,45.84245419502258,False
1453,1,8,-1.0,40.0,41,101,78,30.427058935165405,False
1454,4,4,-1.0,10.0,57,101,80,35.13046360015869,False
1455,9,8,-1.0,10.0,60,101,81,36.3359899520874,False
1456,3,9,1.0,-1.0,62,101,85,41.68138098716736,False
1457,3,5,1.0,20.0,83,101,88,50.0643413066864,False
1458,6,1,1.0,20.0,90,101,71,52.56420302391052,False
1459,7,9,-1.0,30.0,38,101,76,29.216082334518436,False
1460,11,2,1.0,30.0,84,101,66,50.78052258491516,False
1461,6,3,-1.0,20.0,56,101,63,35.22884798049927,False
1462,1,5,-1.0,70.0,36,101,70,28.53480553627014,False
1463,4,0,-1.0,40.0,48,101,79,32.872074604034424,False
1464,7,4,1.0,50.0,82,101,74,49.39910364151001,False
1465,1,1,-1.0,10.0,64,101,74,37.52122569084168,False
1466,3,9,-1.0,30.0,46,101,79,31.949703693389893,False
1467,3,9,1.0,60.0,65,101,83,43.91410112380981,False
1468,2,7,-1.0,40.0,36,101,88,28.57824969291687,False
1469,11,0,-1.0,50.0,32,101,54,26.529037475585938,False
1470,7,8,1.0,20.0,89,101,71,52.34758448600769,False
1471,2,0,1.0,50.0,66,101,85,43.62112307548523,False
1472,11,7,1.0,20.0,92,101,69,53.478861808776855,False
1473,9,8,1.0,20.0,86,101,83,51.22861289978027,False
1474,7,5,1.0,-1.0,65,101,71,42.80372738838196,False
1475,8,2,1.0,70.0,67,101,80,44.84102821350098,False
1476,5,0,1.0,10.0,90,101,76,51.86908173561096,False
1477,8,3,1.0,50.0,86,101,87,53.513757944107056,False
1478,4,5,-1.0,50.0,27,101,81,24.89208483695984,False
1479,9,6,1.0,60.0,89,101,85,52.30771827697754,False
1480,5,9,-1.0,70.0,26,101,78,25.16956353187561,False
1481,10,5,-1.0,10.0,69,101,73,39.50098896026611,False
