target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
5,8,,40.0,25,101,63,24.785956859588623,False
10,4,1.0,60.0,70,101,79,45.589974880218506,False
5,7,1.0,,66,101,65,43.085875272750854,False
7,6,,30.0,41,101,74,30.2022123336792,False
7,7,1.0,40.0,86,101,66,50.56518769264221,False
2,2,1.0,60.0,71,101,85,45.884748697280884,False
8,5,,50.0,30,101,86,25.91694951057434,False
7,6,,,100,101,71,49.70645356178284,False
4,7,1.0,70.0,73,101,83,47.06566882133484,False
4,7,,30.0,36,101,81,28.450278997421265,False
7,4,,60.0,31,101,63,26.45438551902771,False
2,0,1.0,20.0,87,101,86,51.13862061500549,False
2,2,1.0,70.0,71,101,85,46.18255829811096,False
11,5,1.0,70.0,87,101,67,52.091431856155396,False
3,5,,,100,101,88,49.84833526611328,False
4,8,1.0,30.0,91,101,81,53.359354734420776,False
0,8,1.0,20.0,86,101,76,50.98121523857117,False
5,4,,30.0,42,101,73,30.557246446609497,False
4,5,1.0,70.0,79,101,75,48.86880135536194,False
4,9,,20.0,53,101,73,34.170939922332764,False
0,4,1.0,20.0,84,101,74,50.141011238098145,False
1,0,1.0,50.0,77,101,78,47.364511251449585,False
4,4,,40.0,33,101,71,27.71260356903076,False
4,9,1.0,20.0,91,101,77,53.03140449523926,False
7,2,1.0,,68,101,78,43.64587116241455,False
4,9,,30.0,42,101,68,30.51262927055359,False
0,6,1.0,30.0,87,101,69,51.46452522277832,False
6,4,1.0,70.0,68,101,71,45.248889684677124,False
9,3,,30.0,41,101,84,30.37734031677246,False
2,8,1.0,10.0,92,101,90,52.76460099220276,False
3,7,,70.0,24,101,86,24.50876498222351,False
0,3,1.0,50.0,86,101,78,50.666463136672974,False
7,7,,10.0,65,101,70,38.06116056442261,False
0,8,1.0,70.0,70,101,67,45.95685839653015,False
9,1,1.0,10.0,86,101,86,50.73520064353943,False
2,3,,20.0,60,101,84,36.546632051467896,False
5,4,,50.0,33,101,66,26.94737982749939,False
2,2,,60.0,30,101,82,26.033540964126587,False
4,9,,50.0,26,101,72,24.467806577682495,False
3,6,1.0,40.0,81,101,84,48.72685217857361,False
11,5,1.0,50.0,79,101,66,48.496928691864014,False
6,9,,60.0,28,101,52,25.53120255470276,False
1,3,1.0,10.0,90,101,70,51.881671667099,False
7,6,,60.0,28,101,68,25.494360208511353,False
5,3,,50.0,43,101,72,30.39353036880493,False
11,0,,30.0,41,101,64,30.243226766586304,False
0,9,1.0,70.0,75,101,71,47.76186680793762,False
5,9,,10.0,61,101,70,36.48358702659607,False
8,7,1.0,,71,101,82,44.841877698898315,False
3,5,,70.0,31,101,85,26.945571899414062,False
7,0,,,100,101,78,49.65382099151611,False
7,8,1.0,70.0,76,101,73,48.26597332954407,False
10,2,,10.0,74,101,71,43.880064725875854,False
6,5,,50.0,29,101,66,25.523261070251465,False
5,8,,60.0,29,101,63,25.77025842666626,False
4,3,,70.0,20,101,80,23.00891399383545,False
9,4,1.0,30.0,82,101,80,50.15715265274048,False
5,9,,50.0,40,101,72,29.305331230163574,False
7,6,1.0,30.0,90,101,72,52.88946223258972,False
1,9,1.0,70.0,81,101,76,54.81931805610657,False
0,3,,50.0,27,101,77,25.745691061019897,False
10,7,1.0,50.0,87,101,66,51.297648191452026,False
1,5,1.0,50.0,77,101,81,47.57577157020569,False
9,2,,60.0,25,101,78,24.501150131225586,False
11,4,,70.0,21,101,58,23.361217975616455,False
4,9,,60.0,26,101,69,24.7437481880188,False
2,1,1.0,60.0,76,101,82,47.61810517311096,False
4,4,1.0,30.0,86,101,82,51.321908473968506,False
11,6,1.0,20.0,85,101,74,51.02226781845093,False
0,7,,60.0,27,101,75,25.19925808906555,False
3,8,,60.0,27,101,84,24.966724157333374,False
5,8,1.0,70.0,74,101,72,47.321508169174194,False
6,7,1.0,10.0,90,101,72,51.9953989982605,False
8,2,,50.0,32,101,76,26.508890867233276,False
1,4,,30.0,34,101,71,27.844221830368042,False
8,5,1.0,40.0,84,101,80,49.812103271484375,False
8,1,,20.0,43,101,85,30.669531106948853,False
7,4,1.0,60.0,82,101,74,49.66831731796265,False
8,0,1.0,50.0,79,101,87,48.3330442905426,False
0,8,,30.0,41,101,68,30.235652208328247,False
10,5,,40.0,27,101,64,24.17158031463623,False
4,4,1.0,50.0,81,101,75,49.29343891143799,False
0,6,1.0,20.0,89,101,69,51.96504068374634,False
9,1,,50.0,29,101,74,25.621864318847656,False
