x,width,target_id
0.85,0.05,0
0.5375,0.05,1
0.22499999999999998,0.05,2
-0.22499999999999998,0.05,3
-0.5375000000000001,0.05,4
-0.85,0.05,5
0.85,0.03,6
0.5375,0.03,7
0.22499999999999998,0.03,8
-0.22499999999999998,0.03,9
-0.5375000000000001,0.03,10
-0.85,0.03,11
